"","t","k","mean_ER"
"539",7,54,-0.00333385196749665
"540",7,55,-0.0033277260313956
"541",7,56,-0.00326419951602399
"542",7,57,-0.00337602712518043
"543",7,58,-0.00317373793678354
"544",7,59,-0.00296195674081835
"545",7,60,-0.00310411210900809
"546",7,61,-0.00439093197323185
"547",7,62,-0.00471436131532179
"548",7,63,-0.00450793930746556
"549",7,64,-0.00405221142036818
"550",7,65,-0.00467509453756683
"551",7,66,-0.00507533804929573
"552",7,67,-0.00475924549230645
"553",7,68,-0.00500611982221094
"554",7,69,-0.00515233575572872
"555",7,70,-0.00538972651943316
"556",7,71,-0.00555660451498788
"557",7,72,-0.00597916778880319
"558",7,73,-0.00523046180261869
"559",7,74,-0.00464947825526371
"560",7,75,-0.00478107336852338
"561",7,76,-0.00569952567339989
"562",7,77,-0.0057767231420004
"563",7,78,-0.00546036257414257
"564",7,79,-0.00523499424082267
"565",7,80,-0.00533999111446588
"566",7,81,-0.00504829257761806
"567",7,82,-0.00504894754668495
"568",7,83,-0.00447736258805545
"569",7,84,-0.00449519505536005
"570",7,85,-0.0044812427196945
"571",7,86,-0.00452150505625628
"572",7,87,-0.00459538201195105
"573",7,88,-0.00454937283879221
"574",7,89,-0.00419287704959481
"575",7,90,-0.00421529265645165
"576",7,91,-0.0039822087547892
"577",7,92,-0.00423981915761138
"578",7,93,-0.00456485235860842
"579",7,94,-0.00528331525065915
"580",7,95,-0.00577919541077996
"581",7,96,-0.00577843855285918
"582",7,97,-0.00630250495409396
"583",7,98,-0.00635063580161078
"584",7,99,-0.00665292294502641
"585",7,100,-0.00638312533936546
"586",7,101,-0.00594971947176866
"587",7,102,-0.00593044138822905
"588",7,103,-0.00543701692206943
"589",7,104,-0.00565552008078853
"590",7,105,-0.00550072985340042
"591",7,106,-0.00541755301951934
"592",7,107,-0.00528401744191396
"593",7,108,-0.00552482354685454
"594",7,109,-0.00510082614933489
"595",7,110,-0.00516731803587119
"596",7,111,-0.00529345742683177
"597",7,112,-0.00486870507375873
"598",7,113,-0.00446592698257707
"599",7,114,-0.0042425025498748
"600",7,115,-0.00425630308506289
"601",7,116,-0.00412332424794271
"602",7,117,-0.00459952251226554
"603",8,32,-0.00683326955305106
"604",8,33,-0.00466573108037341
"605",8,34,-0.00290856930255053
"606",8,35,-0.00545680568462331
"607",8,36,-0.00407460799847239
"608",8,37,-0.00338304844660223
"609",8,38,-0.00267800339913963
"610",8,39,-0.00394639696549416
"611",8,40,-0.00414964685914052
"612",8,41,-0.00613493558137426
"613",8,42,-0.00527061950388836
"614",8,43,-0.00488251280681222
"615",8,44,-0.00446316985971842
"616",8,45,-0.00511314586567298
"617",8,46,-0.00616188185644332
"618",8,47,-0.00578627456055361
"619",8,48,-0.00632937691718033
"620",8,49,-0.00621863665279622
"621",8,50,-0.00644483085890155
"622",8,51,-0.00631636400361666
"623",8,52,-0.00597661454785082
"624",8,53,-0.00655266105635669
"625",8,54,-0.00739729153310404
"626",8,55,-0.0065182015330771
"627",8,56,-0.0067637583421821
"628",8,57,-0.00579992348644045
"629",8,58,-0.00652273028796886
"630",8,59,-0.00692610565932839
"631",8,60,-0.00723756564396252
"632",8,61,-0.00647632734876989
"633",8,62,-0.0058355263080184
"634",8,63,-0.00592918189705243
"635",8,64,-0.00595809759275005
"636",8,65,-0.00619843057123621
"637",8,66,-0.00738243244945445
"638",8,67,-0.00696265820480019
"639",8,68,-0.00707714186351234
"640",8,69,-0.00709692820523192
"641",8,70,-0.00743522021383374
"642",8,71,-0.00709472486368991
"643",8,72,-0.00691911393101
"644",8,73,-0.00786911155212545
"645",8,74,-0.00754067243667002
"646",8,75,-0.00762585362317304
"647",8,76,-0.00818014478342366
"648",8,77,-0.00752427180639592
"649",8,78,-0.00716955637288325
"650",8,79,-0.00655032371286629
"651",8,80,-0.00673604154884999
"652",8,81,-0.00637984247476517
"653",8,82,-0.00694998300111193
"654",8,83,-0.00734382571394991
"655",8,84,-0.00648355136692395
"656",8,85,-0.00665898093476259
"657",8,86,-0.00604110702739948
"658",8,87,-0.00588937809609419
"659",8,88,-0.00599672768086562
"660",8,89,-0.00675142777808655
"661",8,90,-0.00662309603757663
"662",8,91,-0.00706664281268992
"663",8,92,-0.00674869163048508
"664",8,93,-0.00663504430504222
"665",8,94,-0.00638892956365692
"666",8,95,-0.00634128742425989
"667",8,96,-0.00640332194227867
"668",8,97,-0.00708346528079504
"669",8,98,-0.00684849535439667
"670",8,99,-0.00673797453776596
"671",8,100,-0.00678974553103659
"672",8,101,-0.00659953628700065
"673",8,102,-0.00640873272669583
"674",8,103,-0.00636702061446293
"675",8,104,-0.00610338399308589
"676",8,105,-0.00610139971590641
"677",8,106,-0.00676412524682917
"678",8,107,-0.00712603112543814
"679",8,108,-0.00615631722250564
"680",8,109,-0.00594753607618887
"681",8,110,-0.00555528215432931
"682",8,111,-0.00538626998499931
"683",8,112,-0.00502088749336934
"684",8,113,-0.00461956238565563
"685",8,114,-0.00489484806293599
"686",8,115,-0.00504194084064513
"687",8,116,-0.00509901137584232
